
# Surface 0 of 1 surfaces

# Curve title: ""ml-maths-2-contour_contourtmp13.dat""

# Contour 0, label:       25
-5 -5  25 


# Contour 1, label:       20
-5 -4  20 
-4.79999 -4.16668  20 
-4.58334 -4.36363  20 
-4.36363 -4.58334  20 
-4.16668 -4.79999  20 
-4 -5  20 

# Contour 2, label: 
 4.00013  4.99984  20 
 4.16652  4.80017  20 
 4.36378  4.58318  20 
 4.58318  4.36378  20 
 4.80017  4.16652  20 
 4.99984  4.00013  20 


# Contour 3, label:       15
-5 -3  15 
-4.58334 -3.27272  15 
-4.49996 -3.33336  15 
-4.16668 -3.59999  15 
-3.99998 -3.75002  15 
-3.75002 -3.99998  15 
-3.59999 -4.16668  15 
-3.33336 -4.49996  15 
-3.27272 -4.58334  15 
-3 -5  15 

# Contour 4, label: 
 3.0001  4.99984  15 
 3.27284  4.58318  15 
 3.3332  4.50018  15 
 3.60013  4.16652  15 
 3.74986  4.00015  15 
 4.00015  3.74986  15 
 4.16652  3.60013  15 
 4.50018  3.3332  15 
 4.58318  3.27284  15 
 4.99984  3.0001  15 


# Contour 5, label:       10
-5 -2  10 
-4.79989 -2.08338  10 
-4.58334 -2.18181  10 
-4.16668 -2.39999  10 
-3.99994 -2.50004  10 
-3.75002 -2.66665  10 
-3.42853 -2.9167  10 
-3.33336 -2.99998  10 
-2.99998 -3.33336  10 
-2.9167 -3.42853  10 
-2.66665 -3.75002  10 
-2.50004 -3.99994  10 
-2.39999 -4.16668  10 
-2.18181 -4.58334  10 
-2.08338 -4.79989  10 
-2 -5  10 

# Contour 6, label: 
 2.00006  4.99984  10 
 2.08322  4.80026  10 
 2.18189  4.58318  10 
 2.40008  4.16652  10 
 2.49988  4.00019  10 
 2.66677  3.74986  10 
 2.91654  3.42872  10 
 3.00012  3.3332  10 
 3.3332  3.00012  10 
 3.42872  2.91654  10 
 3.74986  2.66677  10 
 4.00019  2.49988  10 
 4.16652  2.40008  10 
 4.58318  2.18189  10 
 4.80026  2.08322  10 
 4.99984  2.00006  10 


# Contour 7, label:        5
-5 -1  5 
-4.58334 -1.09091  5 
-4.16668 -1.2  5 
-3.99981 -1.25006  5 
-3.75002 -1.33333  5 
-3.33336 -1.49999  5 
-2.9999 -1.66672  5 
-2.9167 -1.71427  5 
-2.50004 -1.99997  5 
-2.39995 -2.08338  5 
-2.08338 -2.39995  5 
-1.99997 -2.50004  5 
-1.71427 -2.9167  5 
-1.66672 -2.9999  5 
-1.49999 -3.33336  5 
-1.33333 -3.75002  5 
-1.25006 -3.99981  5 
-1.2 -4.16668  5 
-1.09091 -4.58334  5 
-1 -5  5 

# Contour 8, label: 
 1.00003  4.99984  5 
 1.09095  4.58318  5 
 1.20004  4.16652  5 
 1.2499  4.00032  5 
 1.33338  3.74986  5 
 1.50006  3.3332  5 
 1.66656  3.00019  5 
 1.71436  2.91654  5 
 2.0001  2.49988  5 
 2.08322  2.40013  5 
 2.40013  2.08322  5 
 2.49988  2.0001  5 
 2.91654  1.71436  5 
 3.00019  1.66656  5 
 3.3332  1.50006  5 
 3.74986  1.33338  5 
 4.00032  1.2499  5 
 4.16652  1.20004  5 
 4.58318  1.09095  5 
 4.99984  1.00003  5 


# Contour 9, label:        0
 4.99984  8.20078e-13  0 
 4.58318  5.9355e-13  0 
 4.16652  5.61585e-13  0 
 3.74986  1.00525e-12  0 
 3.3332  7.16829e-13  0 
 2.91654  6.88796e-13  0 
 2.49988 -1.60418e-13  0 
 2.08322  6.64799e-14  0 
 1.66656  2.20668e-12  0 
 1.2499  1.01423e-12  0 
 0.83324  1.50393e-13  0 
 0.41658  2.30328e-13  0 
 7.36189e-14 -7.999e-05  0 
 6.11261e-13 -0.41674  0 
 4.60861e-13 -0.8334  0 
 1.63589e-13 -1.25006  0 
 3.68893e-13 -1.66672  0 
-4.4378e-13 -2.08338  0 
 1.8225e-13 -2.50004  0 
 9.82478e-13 -2.9167  0 
 9.73786e-13 -3.33336  0 
 2.09757e-13 -3.75002  0 
-1.80674e-13 -4.16668  0 
 7.80422e-13 -4.58334  0 
